fips,County,State,Total_Confirmed,Total_Deaths
48237.0,Jack,Texas,192687.0,4607.0
48313.0,Madison,Texas,643427.0,8886.0
48307.0,McCulloch,Texas,190572.0,5711.0
48403.0,Sabine,Texas,173172.0,12875.0
48415.0,Scurry,Texas,851354.0,18105.0
48095.0,Concho,Texas,134515.0,2316.0
48097.0,Cooke,Texas,1110041.0,19555.0
48227.0,Howard,Texas,1460617.0,30156.0
48379.0,Rains,Texas,254471.0,7830.0
48429.0,Stephens,Texas,245657.0,7522.0
48495.0,Winkler,Texas,238732.0,6193.0
48127.0,Dimmit,Texas,644587.0,9317.0
48345.0,Motley,Texas,32239.0,2150.0
48011.0,Armstrong,Texas,55503.0,1887.0
48131.0,Duval,Texas,424955.0,13508.0
48487.0,Wilbarger,Texas,573834.0,15387.0
48035.0,Bosque,Texas,508781.0,10517.0
48161.0,Freestone,Texas,579342.0,13601.0
48283.0,La Salle,Texas,332212.0,8673.0
48315.0,Marion,Texas,188404.0,10524.0
48387.0,Red River,Texas,241075.0,12956.0
48393.0,Roberts,Texas,19596.0,305.0
48421.0,Sherman,Texas,70932.0,3348.0
48507.0,Zavala,Texas,578199.0,13501.0
48065.0,Carson,Texas,151405.0,3951.0
48501.0,Yoakum,Texas,296593.0,8374.0
48075.0,Childress,Texas,426874.0,4500.0
48225.0,Houston,Texas,567538.0,15626.0
48369.0,Parmer,Texas,443135.0,11999.0
48205.0,Hartley,Texas,189826.0,1019.0
48047.0,Brooks,Texas,276957.0,12655.0
48483.0,Wheeler,Texas,165911.0,3098.0
48079.0,Cochran,Texas,96260.0,4222.0
48247.0,Jim Hogg,Texas,192945.0,4924.0
48353.0,Nolan,Texas,499966.0,14593.0
48357.0,Ochiltree,Texas,363206.0,7979.0
48101.0,Cottle,Texas,58567.0,2494.0
48295.0,Lipscomb,Texas,100197.0,3332.0
48399.0,Runnels,Texas,401974.0,11316.0
48169.0,Garza,Texas,150616.0,6871.0
48173.0,Glasscock,Texas,32543.0,568.0
48043.0,Brewster,Texas,311879.0,4559.0
48045.0,Briscoe,Texas,47577.0,1622.0
48083.0,Coleman,Texas,221240.0,9350.0
48391.0,Refugio,Texas,241437.0,7654.0
48017.0,Bailey,Texas,281675.0,5878.0
48081.0,Coke,Texas,148208.0,4152.0
48087.0,Collingsworth,Texas,90122.0,2462.0
48417.0,Shackelford,Texas,79641.0,1114.0
48267.0,Kimble,Texas,86042.0,2142.0
48389.0,Reeves,Texas,622535.0,12748.0
48009.0,Archer,Texas,244588.0,3342.0
48151.0,Fisher,Texas,99032.0,4229.0
48207.0,Haskell,Texas,135230.0,7244.0
48333.0,Mills,Texas,184062.0,5932.0
48411.0,San Saba,Texas,231376.0,6369.0
48191.0,Hall,Texas,132113.0,4039.0
48197.0,Hardeman,Texas,112152.0,3493.0
48475.0,Ward,Texas,365696.0,6335.0
48377.0,Presidio,Texas,247700.0,7420.0
48229.0,Hudspeth,Texas,161992.0,3530.0
48383.0,Reagan,Texas,127933.0,3048.0
48271.0,Kinney,Texas,102714.0,1780.0
48235.0,Irion,Texas,36879.0,281.0
48023.0,Baylor,Texas,91381.0,3594.0
48105.0,Crockett,Texas,196054.0,4977.0
48385.0,Real,Texas,105767.0,4457.0
48425.0,Somervell,Texas,327102.0,4243.0
48413.0,Schleicher,Texas,79907.0,2088.0
48435.0,Sutton,Texas,153050.0,2615.0
48461.0,Upton,Texas,111909.0,3080.0
48109.0,Culberson,Texas,112842.0,2878.0
48327.0,Menard,Texas,69601.0,2378.0
48443.0,Terrell,Texas,22790.0,599.0
48137.0,Edwards,Texas,78892.0,1645.0
48243.0,Jeff Davis,Texas,53700.0,1167.0
48261.0,Kenedy,Texas,12087.0,795.0
48447.0,Throckmorton,Texas,22458.0,1602.0
48155.0,Foard,Texas,36535.0,2602.0
48263.0,Kent,Texas,28828.0,542.0
48311.0,McMullen,Texas,26637.0,1335.0
48433.0,Stonewall,Texas,45205.0,1736.0
48431.0,Sterling,Texas,34234.0,1130.0
48033.0,Borden,Texas,8138.0,471.0
48269.0,King,Texas,3199.0,0.0
